id,beer_name,brewery,style,venue,city,country,lat,lon,serving_type,checkin_date,year,month,year_month,weekday
66,Piranha Tripel,Stadshaven Brouwerij,Tripel,,,,,,,2026-02-02,2026,02,2026-02,Monday
67,Dulcis 12,Brauhaus Riegele,Other,,,,,,,2026-02-02,2026,02,2026-02,Monday
68,Gouverneur I.P.A.,Lindeboom,IPA,,,,,,,2026-01-31,2026,01,2026-01,Saturday
69,Weiherer India Pale Ale,Brauerei Kundmüller,IPA,Hopfen+Malz,Aachen,DE,50.7766,6.0834,,2026-01-30,2026,01,2026-01,Friday
70,Extinction Is Forever!: Addax,Bevog Brewery,Other,,,,,,,2026-01-30,2026,01,2026-01,Friday
71,Maisel & Friends Hoplander: Eclipse,Brauerei Gebr. Maisel,Other,,,,,,,2026-01-30,2026,01,2026-01,Friday
72,Eden,Yankee & Kraut,Other,Hopfen+Malz,Aachen,DE,50.7766,6.0834,,2026-01-30,2026,01,2026-01,Friday
73,PoC#14 Ginger Lager,Totenhopfen Brauhaus,Lager/Pils,Hopfen+Malz,Aachen,DE,50.7766,6.0834,,2026-01-30,2026,01,2026-01,Friday
74,Jute Weisse,Hopfen+Malz,Wheat Beer,Hopfen+Malz,Aachen,DE,50.7766,6.0834,,2026-01-30,2026,01,2026-01,Friday
75,Daily Nectar,Totenhopfen Brauhaus,Other,Hopfen+Malz,Aachen,DE,50.7766,6.0834,,2026-01-30,2026,01,2026-01,Friday
76,SCHWERST EINEN SITZEN,Yankee & Kraut,Other,Hopfen+Malz,Aachen,DE,50.7766,6.0834,,2026-01-30,2026,01,2026-01,Friday
77,Krombacher’s Fassbrause Himbeere,Krombacher Gruppe,Radler/Malt,,,,,,,2026-01-30,2026,01,2026-01,Friday
78,Mosaic Hop,Brouwerij Kees,Other,,,,,,,2026-01-30,2026,01,2026-01,Friday
79,Double Juice Punch,Frontaal Brewing Co.,Other,,,,,,,2026-01-30,2026,01,2026-01,Friday
80,Tricky Tripel,Gebrouwen door Vrouwen,Tripel,,,,,,,2026-01-30,2026,01,2026-01,Friday
81,Burst,Mikkeller,Other,,,,,,,2026-01-30,2026,01,2026-01,Friday
82,Brand IPA 0.0,Brand Bierbrouwerij,Non-Alcoholic,Untappd at Home,Aachen,DE,50.7753,6.0839,,2026-01-28,2026,01,2026-01,Wednesday
83,Hazy Weekend,vandeStreek bier,NEIPA/Hazy IPA,Untappd at Home,Aachen,DE,50.7753,6.0839,,2026-01-27,2026,01,2026-01,Tuesday
84,Quatrième Dimension,Fauve,Other,Untappd at Home,Aachen,DE,50.7753,6.0839,,2026-01-27,2026,01,2026-01,Tuesday
85,Misty Mango,Gebrouwen door Vrouwen,Other,,,,,,,2026-01-26,2026,01,2026-01,Monday
86,Budweiser Budvar / Czechvar Original,Budějovický Budvar,Other,,,,,,,2026-01-26,2026,01,2026-01,Monday
87,Moray IPA,Stadshaven Brouwerij,IPA,,,,,,,2026-01-26,2026,01,2026-01,Monday
88,Head First,Frontaal Brewing Co.,Other,Untappd at Home,Aachen,DE,50.7753,6.0839,,2026-01-26,2026,01,2026-01,Monday
89,Hazy Jane,BrewDog,NEIPA/Hazy IPA,Untappd at Home,Aachen,DE,50.7753,6.0839,,2026-01-26,2026,01,2026-01,Monday
90,Dead Guy Ale,Mackinac Island Brewhouse,Other,The Wingman,Aachen,DE,50.7755,6.0855,,2026-01-24,2026,01,2026-01,Saturday
